1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272
11_left,1046104,10593,3673,1623,1079,810,580,496,474,350,331,268,210,198,184,159,152,121,102,100,88,73,63,62,42,39,35,33,29,26,17,22,14,9,8,9,17,45,383,1794,6532,17622,38871,65404,88582,95922,90219,85172,79418,72564,69715,69198,69930,69038,69783,69751,65662,63214,60750,57575,55879,52323,48815,46627,46401,48092,49403,51719,53143,52067,51823,52419,51593,52226,52943,49519,47440,43930,41815,41548,39955,38549,37676,36521,36710,35823,34661,34432,33596,32038,31750,31488,31946,31433,31960,32270,33301,34394,34720,34918,35059,34830,33537,32098,31311,30579,29280,28227,26475,25346,24841,24519,23444,22424,21491,20940,20098,19598,19768,19338,17668,17500,16632,15329,14415,13508,12998,12473,11776,11671,11708,11809,11898,11862,11106,10055,9225,7506,6142,5039,3918,3525,3127,2881,2834,2809,2842,2642,2700,2652,2583,2497,2469,2580,2359,2287,2322,2351,2186,2054,2092,2063,2155,2147,2156,2024,1787,1618,1499,1333,1319,1281,1289,1220,1203,1196,1310,1303,1273,1172,1140,1126,1175,1169,1078,984,991,820,752,664,535,416,310,272,222,219,192,194,256,298,217,167,109,59,29,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.357153714,0.600580931,-0.00106851,-9.88E-08,4915200,-5251.940587,0.001629773,-9.88E-08,0.040370447,0.01587563,77196.98637,89.53363496,-0.160358817,30.46554448,-1
11_right,1043065,10821,4388,2153,1351,1151,822,660,564,445,376,300,258,246,191,178,169,142,112,94,88,75,75,64,46,50,43,39,38,26,21,18,14,11,5,13,32,84,286,575,954,1733,2939,5375,10203,16387,23903,30124,36082,42642,45614,47471,50071,50831,50136,47674,46519,47121,48675,51158,53560,55948,57863,57298,55017,52980,50434,48357,46061,45588,44987,46562,48806,53545,57427,61458,64655,66386,68934,67270,64850,65022,62655,62102,61271,61086,61224,59628,59083,57615,55799,54138,51713,50467,47795,45485,43977,43989,43922,44119,42877,41915,40317,37472,35095,32162,30993,30507,29847,29683,29952,28918,26838,25576,22632,20946,20445,20014,19925,20190,19910,19836,18478,17225,16319,15563,15409,14619,14169,13573,12912,12180,11885,12011,11569,11229,10479,9815,9335,9137,8484,7598,6751,6092,5375,4737,4372,4052,3948,3646,3521,3548,3212,3122,2935,2787,2850,2671,2609,2628,2671,2549,2352,2336,2189,2009,1757,1677,1544,1348,1130,1031,908,883,767,708,635,656,595,545,563,481,435,504,456,416,444,425,385,409,394,372,406,339,343,346,368,335,357,330,351,346,353,289,275,300,263,286,291,342,278,242,245,276,216,220,256,282,307,350,390,407,450,431,334,172,116,41,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.367821097,0.644544244,-0.001173445,-3.46E-06,4915200,-5767.718791,0.001695818,-3.46E-06,0.041180308,0.017005659,82707.27193,91.33483126,-0.054877371,25.97404603,-1
12_left,1764569,489506,82525,49502,35205,32124,31868,32853,34423,32414,27665,21705,18155,15616,11281,6911,4579,3566,3132,2859,2463,2318,2209,2044,2017,2057,1901,1809,1781,1666,1628,1579,1566,1538,1559,1477,1419,1497,1382,1394,1432,1396,1374,1460,1413,1395,1355,1427,1452,1355,1411,1403,1431,1510,1471,1417,1447,1448,1532,1614,1787,2091,2415,2844,3244,3763,4335,5125,6052,8256,11731,16421,21799,27119,32313,36667,40076,41790,42028,42451,43565,45447,47452,50199,51815,53495,56924,62308,67655,72840,76281,80857,84824,88529,90513,92238,94792,99927,105183,109596,111947,110954,106714,100927,95602,90380,86384,83033,80207,78187,77895,78719,78453,77882,73967,69443,64562,61070,59695,58350,58692,60560,62525,63210,61536,57886,54524,51720,50691,49858,49208,47873,47384,48991,51479,54497,57741,60187,62748,67294,72723,79007,86409,94337,101327,106742,110015,109250,103109,94875,85591,77465,72734,71552,70189,69024,66019,61686,56755,52106,48630,47322,46098,44122,42938,42995,42017,41268,38883,37035,35773,34769,34005,32916,31095,28339,26384,24245,23190,21385,20562,19896,19547,19318,19382,18789,17014,15312,13752,12343,10567,8925,7746,6388,5333,4445,3905,3613,3606,3996,4586,5410,5873,6994,5121,4207,3284,2826,2394,2261,2270,2344,2316,2524,2809,2576,2382,2620,2965,2823,3091,2608,2463,2478,2724,2260,2140,1618,1630,1470,1369,1422,1501,1451,1453,1485,1486,1507,1411,1267,1443,1475,1612,1819,1307,1401,1370,1782,1498,1681,1716,1265,396,522,0,0,-0.276984692,0.535658181,-0.001617463,-4.30E-04,1.01E+07,-16300.30258,8.04E-04,5.68E-07,0.028360434,0.011801423,118349.0935,90.17759926,0.046789743,33.5563926,-1
12_right,1740705,540441,115728,62592,41858,35159,32873,28260,25285,24795,25340,24715,23655,21776,17335,12016,7898,5494,4034,3395,2958,2684,2515,2289,2215,2070,1922,1842,1735,1692,1654,1492,1521,1438,1415,1378,1305,1332,1273,1282,1193,1197,1157,1121,1154,1114,1088,1086,1098,1067,1027,1075,950,1049,1051,1006,998,1002,1061,1067,1029,1016,1063,1041,1116,1119,1169,1113,1108,1212,1255,1256,1322,1354,1440,1510,1504,1587,1656,1811,1780,1860,2079,2451,2753,3237,3871,4722,6327,7979,10103,12087,13923,15111,16417,18118,20303,22305,24574,26489,26794,26967,27647,28919,30392,31796,33582,34493,34597,34524,34221,35717,37109,38039,38731,38400,38279,38708,38705,38404,37953,39243,41106,43575,46695,49125,51398,54900,59291,66509,75907,87771,98773,111293,121390,131334,139979,148625,158245,167580,176393,181429,176288,164607,150313,135734,125916,118337,112041,109635,108568,109325,110757,111823,113241,113192,112636,111191,108680,106120,103559,100622,99041,97393,96081,96675,96546,94767,93221,91319,89032,85045,81371,77538,72776,67411,60690,53793,46860,40411,34565,30084,25631,21539,18535,15594,13116,11325,9822,8644,7576,6547,5919,5415,5187,4502,4608,4692,5260,5184,4970,4257,3363,3182,2935,3302,3591,3696,3585,2724,2438,2416,2341,2532,2797,2557,2458,2574,2966,2933,3438,3217,3287,3275,3220,3003,2521,2679,2287,1975,1869,1510,1602,1625,1486,1527,1507,1453,1318,1344,1513,1693,1776,2209,1492,1565,1574,2179,1525,1402,709,362,2,0,0,0,-0.245620087,0.436552465,-0.001852614,-7.58E-04,1.01E+07,-18670.07896,7.45E-04,-4.49E-07,0.027291077,0.012440874,125099.8452,86.83597014,0.234923519,24.44511614,-1
14_left,4503785,6540,1512,878,721,578,555,552,509,544,537,503,513,525,510,516,528,540,503,537,483,503,559,530,587,532,527,524,570,556,588,556,567,588,597,559,542,587,560,554,535,586,598,623,646,705,791,889,1145,1513,2040,2647,3423,4392,5798,7537,9999,13014,16636,19725,22574,23720,24257,24301,23931,23561,23664,23034,22283,21855,20982,21010,21160,21662,23060,25503,28029,31846,35147,38890,42880,47256,51876,56832,60946,63807,66361,65817,65437,63242,59418,55746,52840,49267,46207,43619,41393,40014,38760,38100,37885,37974,38596,39085,39315,39755,41439,42637,44010,46252,47676,50066,52682,55618,58213,61311,64691,67147,69179,70360,71226,69683,66701,62670,57616,52528,47221,42293,37984,33905,30154,27094,23953,20736,18404,15776,13383,11035,9083,7298,5574,4132,3082,2437,2017,1706,1562,1526,1470,1424,1376,1337,1220,1145,1095,979,928,947,900,949,891,870,881,787,775,725,668,591,662,666,710,659,563,555,568,515,488,445,459,425,410,416,365,355,344,339,332,338,365,379,427,391,418,488,462,385,453,498,545,532,539,553,571,482,420,413,350,274,252,245,239,313,281,279,303,276,253,204,205,170,102,57,55,51,42,42,30,33,9,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.511051416,0.461064637,-7.67E-04,4.57E-06,7962624,-6106.641903,0.001472676,4.57E-06,0.038375456,0.014668133,113906.5329,108.3099519,-0.435647204,27.7538144,-1
14_right,4503449,7041,1557,846,658,542,526,508,496,482,495,511,506,507,452,464,456,476,424,495,492,489,522,488,491,496,510,521,536,509,537,551,517,527,515,554,544,525,552,553,568,523,557,539,554,505,588,565,605,690,818,990,1220,1411,1731,1892,2138,2276,2568,3054,3643,4430,5732,7483,9745,12409,15022,17507,19695,21540,23011,23953,24949,25601,26105,26870,27740,29719,31410,34834,37857,41595,45408,48976,51996,54437,55672,57487,59181,60852,62441,64101,63960,62581,59128,56277,52524,49596,47027,46044,44387,43829,43101,42630,41858,40748,40018,39107,38497,37855,37190,36811,37713,37837,38232,38556,38768,39401,41023,43217,44629,46738,48839,50286,51090,51849,51663,51901,51113,50776,50710,51049,51116,50340,49837,48764,46571,43461,39012,33765,28121,23237,18296,14280,10866,8300,6375,4791,3596,2557,1911,1581,1264,1092,983,1006,902,872,900,883,918,961,983,928,1012,1016,1041,1064,975,868,841,869,865,834,937,899,920,904,857,875,780,815,723,661,653,641,590,615,671,681,669,576,562,540,487,466,490,441,403,382,364,340,336,323,321,320,316,329,370,389,418,386,475,495,485,543,537,477,458,392,493,527,481,431,408,392,355,320,273,192,112,94,91,75,64,53,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.358439624,0.285961479,-8.10E-04,-1.18E-06,7962624,-6446.304688,0.001367904,-1.18E-06,0.036985191,0.014864117,115324.4839,104.3902625,0.038234107,16.40746596,-1
18_left,1050227,9150,2833,1327,810,597,406,370,307,294,212,179,199,151,157,111,115,94,81,80,77,64,63,52,42,30,33,32,40,57,163,416,1015,1921,2544,3652,4751,5238,5607,5958,5757,4919,4197,4239,4225,4519,4583,4814,5174,5616,6726,9438,13156,18379,25814,34865,47493,61948,80136,97903,113017,125371,132114,142038,149292,159553,163956,166900,164491,158443,150480,139252,125502,113470,104091,97236,91334,85400,80432,78052,75593,70131,62998,54349,46203,38668,32518,29443,26354,24074,22140,19547,17678,17306,16235,14011,12368,10778,9814,8961,7930,7361,6836,6375,6366,5675,5492,5359,5674,5443,5581,5375,5328,5317,5097,5018,4392,3927,3607,3251,2655,2082,1786,1588,1461,1608,1682,1554,1710,1862,1938,1818,1669,1680,1653,1804,1835,1753,1645,1671,1646,1658,1641,1563,1688,1705,1640,1685,1634,1610,1572,1519,1639,1662,1470,1391,1304,1255,1120,1024,912,900,833,864,975,992,1049,1021,1028,958,953,969,855,821,806,765,795,756,698,647,598,674,754,720,674,644,688,740,741,736,786,784,840,975,1019,1077,1107,1222,1359,1413,1488,1540,1527,1451,1434,1124,912,698,553,397,273,166,113,74,39,18,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.316640645,0.543643713,-0.001009123,-8.29E-08,4915200,-4960.039484,0.001409539,-8.29E-08,0.037543827,0.015511515,75573.97612,83.26566598,-0.11652827,22.04186855,-1
18_right,1047461,10101,3299,1430,952,770,604,522,392,306,295,278,229,176,172,159,136,114,103,88,95,81,59,56,54,55,29,40,26,23,30,22,19,14,12,5,3,12,20,46,195,665,1379,2146,2912,4750,7000,9411,12670,16452,23971,35959,52876,76219,101303,132255,158461,179948,198003,202743,189223,174059,150707,128419,115841,102373,91997,84583,76353,69677,64429,61864,60491,60134,61131,60752,59662,56419,52051,51735,49409,44953,40664,37152,30781,27223,24295,21539,20155,17603,16103,14377,13639,12769,11916,11522,11448,10722,10942,10595,10690,10657,10918,10663,10552,10426,10634,10621,10519,10412,11004,11006,10905,11380,11773,12014,12842,13230,12643,12399,12008,12400,12061,12343,11836,10943,11063,10454,9457,8841,7681,6137,4984,4034,3026,2614,2185,1952,1778,1600,1441,1353,1420,1303,1343,1224,1131,1101,1101,1081,998,1054,1000,873,889,952,912,897,811,791,801,797,756,734,690,684,642,602,614,594,591,674,718,760,780,743,801,832,898,861,817,868,801,727,640,613,579,491,492,480,456,452,378,315,280,183,131,96,65,35,23,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.348194599,0.557678401,-9.86E-04,3.35E-07,4915200,-4845.310466,0.001729596,3.35E-07,0.04158841,0.014468845,70649.47346,92.2284438,-0.193550526,29.00069957,-1
1_left,1785055,202008,66943,46928,39257,38948,43946,47909,42648,30077,18432,11625,8295,6888,6347,6123,6008,6049,5937,5944,5920,5849,5991,6081,5916,5995,6060,6295,6252,6254,6115,6137,6243,6164,6499,6772,7319,7573,8275,9233,11282,14692,19067,25508,33987,46098,65299,87126,106066,117435,117594,111521,100386,86915,75661,67780,62190,58430,56911,54516,52871,50657,49737,50142,50748,51006,51192,51525,52443,53933,56399,61261,68258,77147,84815,89374,93957,99693,103507,108512,112328,113239,111770,110683,110235,109004,108974,107460,105873,107013,107745,110089,111901,114882,117600,118443,118374,114553,108809,101239,93252,83510,75282,68502,62632,55359,46690,37484,30568,26727,23791,21544,19271,16334,12995,9823,7224,5528,4133,3335,2896,2608,2541,2567,2500,2304,2061,1675,1423,1062,837,671,527,402,356,333,301,295,229,224,225,193,224,237,254,281,274,264,175,125,124,98,102,94,88,108,101,85,51,89,77,65,25,17,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153340831,0.230853483,-9.62E-04,7.24E-07,8185344,-7872.089252,2.18E-04,7.24E-07,0.014775253,0.007158323,58088.45219,42.3615115,0.575347289,24.82141949,-1
1_right,1843938,192853,64713,51948,52191,53411,50010,37215,22986,13982,9501,7897,7081,6558,6205,6098,6037,6147,5998,6016,5758,5879,5897,5738,5575,5484,5576,5439,5673,5712,5837,6050,6075,5987,5818,6008,6219,6343,6413,6528,6768,6779,7065,7404,7615,8152,8920,9821,10675,13166,17187,23689,32204,42570,52161,61127,69177,75992,81348,83322,81963,79373,77858,77847,79302,82273,85078,90160,97231,105699,114985,124483,133814,142830,151467,160030,164913,165377,163307,160180,154145,148026,140989,131785,122143,114180,107283,102726,99707,97805,95821,93271,91701,87193,83304,77190,72266,67706,63541,62258,59890,58866,57191,55542,52927,49747,45755,42389,38992,35414,32614,29172,25015,20228,14976,9817,5833,3089,1336,638,314,165,123,69,28,25,10,7,2,5,2,3,2,3,1,1,0,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.290494025,0.246183693,-9.71E-04,1.57E-06,8185344,-7949.322272,2.02E-04,1.57E-06,0.014219497,0.006855015,55603.40265,40.7768104,0.513764962,28.34581577,-1
